,clip,annotator_id,prolific_user,annotator_gender,annotator_origin,movies_recognition,actors_recognition,experim_group,intensity,variability,gender,frame_start,movie,quartile,sum,exp_sum,face_id,type
572,108281_167_clean,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,1,1,Male,108281,CleanAM,q4,15.292506597155274,0.1099779363314606,103,A
573,108281_167_clean,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,3,Male,108281,CleanAM,q4,15.292506597155274,0.1099779363314606,103,A
574,108281_167_clean,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,1,Male,108281,CleanAM,q4,15.292506597155274,0.1099779363314606,103,A
575,129583_307_click,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,1,2,Male,129583,ClickHM,q3,9.985121774994845,0.0576602568385149,550,H
576,129583_307_click,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,1,Male,129583,ClickHM,q3,9.985121774994845,0.0576602568385149,550,H
577,129583_307_click,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,1,2,Male,129583,ClickHM,q3,9.985121774994845,0.0576602568385149,550,H
578,129583_307_click,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,2,1,Male,129583,ClickHM,q3,9.985121774994845,0.0576602568385149,550,H
579,129583_307_click,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,1,Male,129583,ClickHM,q3,9.985121774994845,0.0576602568385149,550,H
580,25739_49_pirates,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,5,Male,25739,PiratesOfCaribbeanHM,q2,7.10588802745033,0.0415484416508031,343,H
581,25739_49_pirates,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,25739,PiratesOfCaribbeanHM,q2,7.10588802745033,0.0415484416508031,343,H
582,25739_49_pirates,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,4,4,Male,25739,PiratesOfCaribbeanHM,q2,7.10588802745033,0.0415484416508031,343,H
583,25739_49_pirates,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,4,Male,25739,PiratesOfCaribbeanHM,q2,7.10588802745033,0.0415484416508031,343,H
584,25739_49_pirates,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,4,Male,25739,PiratesOfCaribbeanHM,q2,7.10588802745033,0.0415484416508031,343,H
585,64505_72_fast,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,3,4,Female,64505,FastAndFuriousHM,q1,4.392900312705968,0.0247071513880918,214,H
586,64505_72_fast,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,3,Female,64505,FastAndFuriousHM,q1,4.392900312705968,0.0247071513880918,214,H
587,64505_72_fast,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,4,4,Female,64505,FastAndFuriousHM,q1,4.392900312705968,0.0247071513880918,214,H
588,64505_72_fast,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,4,Female,64505,FastAndFuriousHM,q1,4.392900312705968,0.0247071513880918,214,H
589,64505_72_fast,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,2,Female,64505,FastAndFuriousHM,q1,4.392900312705968,0.0247071513880918,214,H
590,45385_92_click,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,3,Male,45385,ClickHM,q2,7.195466968075497,0.0434460639753679,377,H
591,45385_92_click,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,1,Male,45385,ClickHM,q2,7.195466968075497,0.0434460639753679,377,H
592,45385_92_click,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,5,3,Male,45385,ClickHM,q2,7.195466968075497,0.0434460639753679,377,H
593,45385_92_click,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,3,4,Male,45385,ClickHM,q2,7.195466968075497,0.0434460639753679,377,H
594,45385_92_click,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,3,Male,45385,ClickHM,q2,7.195466968075497,0.0434460639753679,377,H
595,152669_392_newyork,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,2,4,Male,152669,SynecdocheAM,q4,12.64560485791032,0.077153393842223,143,A
596,152669_392_newyork,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,1,Male,152669,SynecdocheAM,q4,12.64560485791032,0.077153393842223,143,A
597,152669_392_newyork,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Male,152669,SynecdocheAM,q4,12.64560485791032,0.077153393842223,143,A
598,152669_392_newyork,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,1,Male,152669,SynecdocheAM,q4,12.64560485791032,0.077153393842223,143,A
599,152669_392_newyork,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,1,Male,152669,SynecdocheAM,q4,12.64560485791032,0.077153393842223,143,A
600,117081_130_fast,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,5,Male,117081,FastAndFuriousHM,q2,8.78186442591206,0.0497191294752132,221,H
601,117081_130_fast,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,1,Male,117081,FastAndFuriousHM,q2,8.78186442591206,0.0497191294752132,221,H
602,117081_130_fast,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Male,117081,FastAndFuriousHM,q2,8.78186442591206,0.0497191294752132,221,H
603,117081_130_fast,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,3,Male,117081,FastAndFuriousHM,q2,8.78186442591206,0.0497191294752132,221,H
604,117081_130_fast,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,4,Male,117081,FastAndFuriousHM,q2,8.78186442591206,0.0497191294752132,221,H
605,50650_104_click,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,6,Male,50650,ClickHM,q3,8.484652012833376,0.0515752883103652,470,H
606,50650_104_click,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,4,2,Male,50650,ClickHM,q3,8.484652012833376,0.0515752883103652,470,H
607,50650_104_click,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,4,3,Male,50650,ClickHM,q3,8.484652012833376,0.0515752883103652,470,H
608,50650_104_click,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,4,Male,50650,ClickHM,q3,8.484652012833376,0.0515752883103652,470,H
609,50650_104_click,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,4,Male,50650,ClickHM,q3,8.484652012833376,0.0515752883103652,470,H
610,66217_133_dark_batman,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,2,Male,66217,TheDarkKnightHM,q1,4.912401425506519,0.0280373463110451,36,H
611,66217_133_dark_batman,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,66217,TheDarkKnightHM,q1,4.912401425506519,0.0280373463110451,36,H
612,66217_133_dark_batman,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Male,66217,TheDarkKnightHM,q1,4.912401425506519,0.0280373463110451,36,H
613,66217_133_dark_batman,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,1,Male,66217,TheDarkKnightHM,q1,4.912401425506519,0.0280373463110451,36,H
614,66217_133_dark_batman,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,1,Male,66217,TheDarkKnightHM,q1,4.912401425506519,0.0280373463110451,36,H
615,133417_238_dark_batman,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,3,Female,133417,TheDarkKnightHM,q4,14.373224465061892,0.092033985440125,76,H
616,133417_238_dark_batman,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,1,1,Female,133417,TheDarkKnightHM,q4,14.373224465061892,0.092033985440125,76,H
617,133417_238_dark_batman,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,1,Female,133417,TheDarkKnightHM,q4,14.373224465061892,0.092033985440125,76,H
618,133417_238_dark_batman,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,6,2,Female,133417,TheDarkKnightHM,q4,14.373224465061892,0.092033985440125,76,H
619,133417_238_dark_batman,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,1,Female,133417,TheDarkKnightHM,q4,14.373224465061892,0.092033985440125,76,H
620,164473_410_allornothing,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,3,Male,164473,AllOrNothingAM,q4,12.59289331285032,0.0803425834509187,195,A
621,164473_410_allornothing,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,164473,AllOrNothingAM,q4,12.59289331285032,0.0803425834509187,195,A
622,164473_410_allornothing,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,2,Male,164473,AllOrNothingAM,q4,12.59289331285032,0.0803425834509187,195,A
623,164473_410_allornothing,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,6,5,Male,164473,AllOrNothingAM,q4,12.59289331285032,0.0803425834509187,195,A
624,164473_410_allornothing,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,3,Male,164473,AllOrNothingAM,q4,12.59289331285032,0.0803425834509187,195,A
625,75889_71_kvant,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,2,3,Female,75889,QuantumOfSolaceHM,q3,9.218636000756328,0.0527813054871322,41,H
626,75889_71_kvant,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,3,Female,75889,QuantumOfSolaceHM,q3,9.218636000756328,0.0527813054871322,41,H
627,75889_71_kvant,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,3,Female,75889,QuantumOfSolaceHM,q3,9.218636000756328,0.0527813054871322,41,H
628,75889_71_kvant,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,2,1,Female,75889,QuantumOfSolaceHM,q3,9.218636000756328,0.0527813054871322,41,H
629,75889_71_kvant,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,3,Female,75889,QuantumOfSolaceHM,q3,9.218636000756328,0.0527813054871322,41,H
630,53817_87_spider,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,2,Female,53817,SpiderAM,q2,7.886367207862957,0.0455997410517817,39,A
631,53817_87_spider,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,1,1,Female,53817,SpiderAM,q2,7.886367207862957,0.0455997410517817,39,A
632,53817_87_spider,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,4,2,Female,53817,SpiderAM,q2,7.886367207862957,0.0455997410517817,39,A
633,53817_87_spider,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,1,Female,53817,SpiderAM,q2,7.886367207862957,0.0455997410517817,39,A
634,53817_87_spider,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,2,Female,53817,SpiderAM,q2,7.886367207862957,0.0455997410517817,39,A
635,133865_278_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,3,2,Female,133865,MonsterInLawHM,q1,4.995206909635389,0.0279261833860822,140,H
636,133865_278_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Female,133865,MonsterInLawHM,q1,4.995206909635389,0.0279261833860822,140,H
637,133865_278_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,3,Female,133865,MonsterInLawHM,q1,4.995206909635389,0.0279261833860822,140,H
638,133865_278_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,3,Female,133865,MonsterInLawHM,q1,4.995206909635389,0.0279261833860822,140,H
639,133865_278_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,3,Female,133865,MonsterInLawHM,q1,4.995206909635389,0.0279261833860822,140,H
640,30244_29_fast,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,4,1,Male,30244,FastAndFuriousHM,q3,10.77882472516606,0.0635784702127045,154,H
641,30244_29_fast,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,1,2,Male,30244,FastAndFuriousHM,q3,10.77882472516606,0.0635784702127045,154,H
642,30244_29_fast,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,4,2,Male,30244,FastAndFuriousHM,q3,10.77882472516606,0.0635784702127045,154,H
643,30244_29_fast,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,3,2,Male,30244,FastAndFuriousHM,q3,10.77882472516606,0.0635784702127045,154,H
644,30244_29_fast,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,1,Male,30244,FastAndFuriousHM,q3,10.77882472516606,0.0635784702127045,154,H
645,4069_0_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,2,2,Female,4069,MonsterInLawHM,q1,4.72352583623971,0.0266392321456576,0,H
646,4069_0_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,5,2,Female,4069,MonsterInLawHM,q1,4.72352583623971,0.0266392321456576,0,H
647,4069_0_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Female,4069,MonsterInLawHM,q1,4.72352583623971,0.0266392321456576,0,H
648,4069_0_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,3,Female,4069,MonsterInLawHM,q1,4.72352583623971,0.0266392321456576,0,H
649,4069_0_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,2,Female,4069,MonsterInLawHM,q1,4.72352583623971,0.0266392321456576,0,H
650,52453_35_kvant,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,5,Male,52453,QuantumOfSolaceHM,q4,16.758423976831192,0.1229227070887983,18,H
651,52453_35_kvant,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,52453,QuantumOfSolaceHM,q4,16.758423976831192,0.1229227070887983,18,H
652,52453_35_kvant,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Male,52453,QuantumOfSolaceHM,q4,16.758423976831192,0.1229227070887983,18,H
653,52453_35_kvant,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,2,Male,52453,QuantumOfSolaceHM,q4,16.758423976831192,0.1229227070887983,18,H
654,52453_35_kvant,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,4,Male,52453,QuantumOfSolaceHM,q4,16.758423976831192,0.1229227070887983,18,H
655,112305_248_click,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,2,1,Male,112305,ClickHM,q3,9.61922150802769,0.0552168572952947,437,H
656,112305_248_click,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,1,1,Male,112305,ClickHM,q3,9.61922150802769,0.0552168572952947,437,H
657,112305_248_click,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,1,Male,112305,ClickHM,q3,9.61922150802769,0.0552168572952947,437,H
658,112305_248_click,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,2,1,Male,112305,ClickHM,q3,9.61922150802769,0.0552168572952947,437,H
659,112305_248_click,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,1,Male,112305,ClickHM,q3,9.61922150802769,0.0552168572952947,437,H
660,19073_34_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,7,Female,19073,MonsterInLawHM,q1,3.7979457864925497,0.0211570582762724,18,H
661,19073_34_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,5,2,Female,19073,MonsterInLawHM,q1,3.7979457864925497,0.0211570582762724,18,H
662,19073_34_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,5,Female,19073,MonsterInLawHM,q1,3.7979457864925497,0.0211570582762724,18,H
663,19073_34_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,3,Female,19073,MonsterInLawHM,q1,3.7979457864925497,0.0211570582762724,18,H
664,19073_34_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,5,Female,19073,MonsterInLawHM,q1,3.7979457864925497,0.0211570582762724,18,H
665,44969_83_pirates,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,6,Male,44969,PiratesOfCaribbeanHM,q4,17.615308112483522,0.1086389652486671,349,H
666,44969_83_pirates,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,44969,PiratesOfCaribbeanHM,q4,17.615308112483522,0.1086389652486671,349,H
667,44969_83_pirates,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,4,Male,44969,PiratesOfCaribbeanHM,q4,17.615308112483522,0.1086389652486671,349,H
668,44969_83_pirates,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,5,Male,44969,PiratesOfCaribbeanHM,q4,17.615308112483522,0.1086389652486671,349,H
669,44969_83_pirates,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,5,Male,44969,PiratesOfCaribbeanHM,q4,17.615308112483522,0.1086389652486671,349,H
670,61953_147_newyork,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,3,Male,61953,SynecdocheAM,q4,12.977690676816938,0.0777946955560028,61,A
671,61953_147_newyork,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,61953,SynecdocheAM,q4,12.977690676816938,0.0777946955560028,61,A
672,61953_147_newyork,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Male,61953,SynecdocheAM,q4,12.977690676816938,0.0777946955560028,61,A
673,61953_147_newyork,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,6,Male,61953,SynecdocheAM,q4,12.977690676816938,0.0777946955560028,61,A
674,61953_147_newyork,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,5,Male,61953,SynecdocheAM,q4,12.977690676816938,0.0777946955560028,61,A
675,113513_195_spider,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,3,2,Male,113513,SpiderAM,q2,7.198742850445116,0.0408417110622938,95,A
676,113513_195_spider,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,3,Male,113513,SpiderAM,q2,7.198742850445116,0.0408417110622938,95,A
677,113513_195_spider,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,1,1,Male,113513,SpiderAM,q2,7.198742850445116,0.0408417110622938,95,A
678,113513_195_spider,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,6,2,Male,113513,SpiderAM,q2,7.198742850445116,0.0408417110622938,95,A
679,113513_195_spider,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,1,Male,113513,SpiderAM,q2,7.198742850445116,0.0408417110622938,95,A
680,44785_131_copy,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,7,4,Female,44785,CertifiedCopyAM,q3,9.441304493683512,0.0590814411454456,55,A
681,44785_131_copy,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,5,1,Female,44785,CertifiedCopyAM,q3,9.441304493683512,0.0590814411454456,55,A
682,44785_131_copy,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,5,2,Female,44785,CertifiedCopyAM,q3,9.441304493683512,0.0590814411454456,55,A
683,44785_131_copy,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,7,2,Female,44785,CertifiedCopyAM,q3,9.441304493683512,0.0590814411454456,55,A
684,44785_131_copy,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,2,Female,44785,CertifiedCopyAM,q3,9.441304493683512,0.0590814411454456,55,A
685,18753_33_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,4,7,Female,18753,MonsterInLawHM,q2,5.816576686556339,0.0324628082454638,17,H
686,18753_33_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Female,18753,MonsterInLawHM,q2,5.816576686556339,0.0324628082454638,17,H
687,18753_33_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,4,Female,18753,MonsterInLawHM,q2,5.816576686556339,0.0324628082454638,17,H
688,18753_33_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,5,Female,18753,MonsterInLawHM,q2,5.816576686556339,0.0324628082454638,17,H
689,18753_33_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,5,Female,18753,MonsterInLawHM,q2,5.816576686556339,0.0324628082454638,17,H
690,86305_155_spider,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,3,3,Male,86305,SpiderAM,q2,7.539220244919953,0.0438640158923851,73,A
691,86305_155_spider,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,86305,SpiderAM,q2,7.539220244919953,0.0438640158923851,73,A
692,86305_155_spider,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,3,Male,86305,SpiderAM,q2,7.539220244919953,0.0438640158923851,73,A
693,86305_155_spider,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,1,1,I cannot tell,86305,SpiderAM,q2,7.539220244919953,0.0438640158923851,73,A
694,86305_155_spider,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,3,Male,86305,SpiderAM,q2,7.539220244919953,0.0438640158923851,73,A
695,28129_27_fast,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,4,2,Male,28129,FastAndFuriousHM,q4,14.428605244534728,0.1033187213601338,232,H
696,28129_27_fast,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,2,1,Male,28129,FastAndFuriousHM,q4,14.428605244534728,0.1033187213601338,232,H
697,28129_27_fast,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,1,1,Male,28129,FastAndFuriousHM,q4,14.428605244534728,0.1033187213601338,232,H
698,28129_27_fast,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,6,1,Male,28129,FastAndFuriousHM,q4,14.428605244534728,0.1033187213601338,232,H
699,28129_27_fast,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,2,1,Male,28129,FastAndFuriousHM,q4,14.428605244534728,0.1033187213601338,232,H
700,38553_75_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,2,Male,38553,MonsterInLawHM,q4,11.744437117033115,0.0692245806841139,45,H
701,38553_75_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,2,Male,38553,MonsterInLawHM,q4,11.744437117033115,0.0692245806841139,45,H
702,38553_75_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,3,Male,38553,MonsterInLawHM,q4,11.744437117033115,0.0692245806841139,45,H
703,38553_75_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,4,2,Male,38553,MonsterInLawHM,q4,11.744437117033115,0.0692245806841139,45,H
704,38553_75_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,1,2,Male,38553,MonsterInLawHM,q4,11.744437117033115,0.0692245806841139,45,H
705,56197_110_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,4,5,Female,56197,MonsterInLawHM,q1,4.886535723040214,0.0269404166847133,69,H
706,56197_110_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,3,1,Female,56197,MonsterInLawHM,q1,4.886535723040214,0.0269404166847133,69,H
707,56197_110_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,4,Female,56197,MonsterInLawHM,q1,4.886535723040214,0.0269404166847133,69,H
708,56197_110_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,5,4,Female,56197,MonsterInLawHM,q1,4.886535723040214,0.0269404166847133,69,H
709,56197_110_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,5,5,Female,56197,MonsterInLawHM,q1,4.886535723040214,0.0269404166847133,69,H
710,53969_107_allornothing,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,3,Male,53969,AllOrNothingAM,q2,6.427190258304582,0.0375616327049129,32,A
711,53969_107_allornothing,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,4,2,Male,53969,AllOrNothingAM,q2,6.427190258304582,0.0375616327049129,32,A
712,53969_107_allornothing,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,3,2,Male,53969,AllOrNothingAM,q2,6.427190258304582,0.0375616327049129,32,A
713,53969_107_allornothing,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,2,1,Male,53969,AllOrNothingAM,q2,6.427190258304582,0.0375616327049129,32,A
714,53969_107_allornothing,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,2,Male,53969,AllOrNothingAM,q2,6.427190258304582,0.0375616327049129,32,A
715,29977_61_monster,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,5,6,Female,29977,MonsterInLawHM,q3,9.957572861821312,0.0565661784845038,34,H
716,29977_61_monster,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,5,2,Female,29977,MonsterInLawHM,q3,9.957572861821312,0.0565661784845038,34,H
717,29977_61_monster,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,2,Female,29977,MonsterInLawHM,q3,9.957572861821312,0.0565661784845038,34,H
718,29977_61_monster,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,6,2,Female,29977,MonsterInLawHM,q3,9.957572861821312,0.0565661784845038,34,H
719,29977_61_monster,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,4,4,Female,29977,MonsterInLawHM,q3,9.957572861821312,0.0565661784845038,34,H
720,79212_184_allornothing,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,6,2,Male,79212,AllOrNothingAM,q2,7.249462026425939,0.0414457950576868,61,A
721,79212_184_allornothing,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,4,2,Male,79212,AllOrNothingAM,q2,7.249462026425939,0.0414457950576868,61,A
722,79212_184_allornothing,R_5an1SE9dNlygUwC,0,Female,Middle-eastern,A few,Several,3,2,4,Male,79212,AllOrNothingAM,q2,7.249462026425939,0.0414457950576868,61,A
723,79212_184_allornothing,R_736WB2AI1nSsrpE,1,Male,Other,Several,Many,3,3,2,Male,79212,AllOrNothingAM,q2,7.249462026425939,0.0414457950576868,61,A
724,79212_184_allornothing,R_2QbC7dJbe7JRo3w,1,Male,Asian (South),Many,Many,3,3,3,Male,79212,AllOrNothingAM,q2,7.249462026425939,0.0414457950576868,61,A
725,97913_184_dark_batman,R_8R84UkPSkyaXRcF,0,Female,Western (European),Several,Several,3,3,1,Male,97913,TheDarkKnightHM,q3,10.46488052792587,0.0661168906553638,56,H
726,97913_184_dark_batman,R_2v7DVMyt00Hy9CT,0,Male,Western (European),A few,A few,3,1,1,Male,97913,TheDarkKnightHM,q3,10.46488052792587,0.0661168906553638,56,H
